draco 1.5.6-3.1
dracut 107-1
drbl 2.30.5-4
dtc 1.7.2-4.1
dua-cli 2.31.0-1.1
dualsensectl-git r57.6fd6388-1
duktape 2.7.0-7.1
dunst 1.12.2-1.1
dvgrab 3.5-14.1
dxvk-mingw-git 2.7.r8.g6a5544f03-1
e2fsprogs 1.47.3-1.1
easyeffects 7.2.5-1.1
ebook-tools 0.2.2-9.1
ecryptfs-utils 111-9.1
editorconfig-core-c 0.12.9-1.1
edk2-ovmf 202411-1
efibootmgr 18-3.1
efitools 1.9.2-5.1
efivar 39-1.1
electron35 35.7.2-1.1
ell 0.78-1.1
embree 4.4.0-1.1
enca 1.19-6.1
enchant 2.8.12-1.1
eog 47.0-3.1
erofs-utils 1.8.10-1.1
espeak-ng 1.52.0-1.1
ethtool 1:6.11-1.1
eww 0.6.0-1.3
exempi 2.6.6-1.1
exfat-utils 1.4.0-4.1
exiv2 0.28.5-1
exo 4.20.0-2.1
expat 2.7.1-1.1
f2fs-tools 1.16.0-3.1
faac 1.31.1-1.1
faad2 2.11.2-1.2
fakeroot 1.37.1.2-1.1
fastfetch 2.49.0-1.1
fatresize 1.1.0-2.1
fcft 3.3.2-1
feh 3.10.3-1.1
ffcall 2.5-1.1
ffmpeg 2:7.1.1-5.1
ffmpeg4.4 4.4.6-1.1
ffmpegthumbnailer 2.2.3-3.1
ffmpegthumbs 25.04.3-1.1
fftw 3.3.10-7.1
file 5.46-4.1
file-roller 44.5-1.1
filesystem 2025.05.03-1
findutils 4.10.0-3.1
firefox 141.0-1
flac 1.5.0-1.2
flameshot 12.1.0-6.1
flashrom 1.6.0-1.1
flatpak 1:1.16.1-1.1
flex 2.6.4-5.1
flickcurl 1.26-13.1
fluidsynth 2.4.7-1.1
fmt 11.2.0-1.2
fontconfig 2:2.17.1-1.1
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
foot 1.23.1-1.1
fprintd 1.94.5-1.1
freeglut 3.6.0-2.1
freetype2 2.13.3-3.1
frei0r-plugins 2.3.3-4.1
fribidi 1.0.16-2.1
fsarchiver 0.8.8-1.1
fscrypt 0.3.5-1.3
fuse-common 3.17.1-1.1
fuse2 2.9.9-5
fuse2fs 1.47.3-1.1
fuse3 3.17.1-1.1
fuzzel 1.12.0-1.1
fwupd 2.0.13-1.1
fwupd-efi 1.7-1
fzf 0.65.0-1.1
galculator 2.1.4-10.1
game-devices-udev 0.24-1
gamemode 1.8.2-1.1
gamescope 3.16.15-2
gamescope-session-git r317.1d4bffb-1
gamescope-session-steam-git r10.1a3fdb7-1
garcon 4.20.0-2.1
gawk 5.3.2-1.1
gc 8.2.8-2.1
gcc 15.1.1+r500+gb1b8d8ce3eea-3
gcc-libs 15.1.1+r500+gb1b8d8ce3eea-3
gcr 3.41.2-2.1
gcr-4 4.4.0.1-1.1
gd 2.3.3-8
gdbm 1.25-1.1
gdk-pixbuf2 2.42.12-2.1
gedit 48.2-1.1
gegl 0.4.62-1.1
gettext 0.26-1.1
gflags 2.2.2-5.1
gfxstream 0.1.2-2.1
ghostscript 10.05.1-2.1
giflib 5.2.2-2.1
gimp 3.0.4-3.1
git 2.50.1-3.1
github-cli 2.76.2-1.1
github-desktop 3.4.14-1
glances 4.3.3-1
glew 2.2.0-7.1
glew1.10 1.10.0-4.1
glfw 3.4-2.1
glib-networking 1:2.80.1-1.1
glib2 2.84.3-1.2
glib2-docs 2.84.3-1.2
glibc 2.42+r3+gbc13db739377-3
glibmm 2.66.8-1.1
glibmm-2.68 2.84.0-1.1
glm 1.0.1-1.1
glslang 1:1.4.321.0-1.1
glu 9.0.3-2.1
gmic 3.5.5-2.1
gmp 6.3.0-2.1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2.1
gnome-boxes 48.0-5.1
gnome-desktop 1:44.3-1.1
gnome-desktop-common 1:44.3-1.1
gnome-disk-utility 46.1-2.1
gnome-firmware 47.0-2.1
gnome-keyring 1:48.0-1.1
gnome-themes-extra 3.28+r6+g45b1d457-2.1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-11.1
gnulib-l10n 20241231-1
gnupg 2.4.8-1.1
gnustep-base 1.31.1-1.1
gnutls 3.8.10-1
gobject-introspection 1.84.0-2.1
gobject-introspection-runtime 1.84.0-2.1
google-glog 0.7.1-1.2
gopsuinfo 0.1.9-1.2
goverlay 1.3_3-1.1
gpart 0.3-5.1
gparted 1.7.0-1
gperftools 2.16-1.3
gpgme 2.0.0-1.1
gpgmepp 2.0.0-2.1
gpm 1.20.7.r38.ge82d1a6-6.1
gpsd 3.26.1-2.1
gptfdisk 1.0.10-1.2
granite7 7.6.0-1.1
graphene 1.10.8-2.1
graphicsmagick 1.3.45-5.1
graphite 1:1.3.14-5
graphviz 13.1.1-1
greetd 0.10.3-1.1
greetd-agreety 0.10.3-1.1
grep 3.12-2.1
grim 1.5.0-1.1
grimblast-git r89.fe26a90-1
groff 1.23.0-7.1
grub 2:2.12.r292.g73d1c959-1.1
grub-btrfs 4.13-2
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsl 2.8-1
gsm 1.0.22-2.1
gsound 1.0.3-3.1
gspell 1.14.0-2.1
gssdp 1.6.4-1.1
gssproxy 0.9.2-2.1
gst-libav 1.26.4-1.1
